TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
8802,14.6972,25.7572,2.90044,1503.8600000000001,1.75252,5.18066
9678,20.253,51.1792,4.2288,1515.7799999999997,2.527,5.27635
119,19.0079,44.6586,3.66341,1513.1,2.34948,5.55606
2453,17.2838,36.2943,3.15797,1509.3399999999997,2.0999,5.68904
971,15.9837,30.5211,3.63133,1506.46,1.90952,5.69382
2291,14.5948,25.3952,2.77887,1503.6599999999999,1.74001,5.81635
5070,16.3967,32.2883,3.62053,1507.38,1.9692,5.91766
2077,14.5091,25.0941,2.92547,1503.48,1.72954,5.9338
6693,17.7043,38.2636,3.91502,1510.27,2.16126,6.0362
5550,15.8236,29.9066,3.18368,1506.1399999999999,1.89,6.0603
7848,15.4645,28.5506,2.80174,1505.42,1.8462,6.06607
1963,16.7978,34.0749,3.92604,1508.27,2.02853,6.20364
4554,18.0153,39.749,3.9673,1510.9499999999998,2.20641,6.23108
8418,16.8987,34.5307,4.33108,1508.4899999999998,2.04339,6.24448
1038,15.3249,28.0316,3.30085,1505.13,1.82916,6.25205
2475,14.3389,24.5014,3.03246,1503.1399999999999,1.70874,6.48741
1741,17.2167,35.9844,3.61173,1509.1999999999998,2.09008,6.52256
2924,16.0645,30.8399,3.21662,1506.63,1.91975,6.5401
4168,15.9011,30.2035,3.86349,1506.2999999999997,1.89946,6.54161
4046,16.3279,31.9862,3.26805,1507.2199999999998,1.95899,6.64322
3132,15.2202,27.6457,3.21929,1504.92,1.81638,6.79801
2470,15.8096,29.8531,3.47914,1506.1100000000001,1.88829,6.96945
4360,18.3981,41.6122,4.72143,1511.7799999999997,2.26177,7.00803
2678,19.5623,47.512,4.2236,1514.2999999999997,2.42876,7.02373
1111,20.5604,52.8519,4.55612,1516.44,2.57056,7.04982
5663,16.0285,30.6943,3.40197,1506.56,1.91499,7.18371
5006,17.1458,35.6581,4.23768,1509.04,2.07969,7.21697
6409,17.6392,37.9556,4.58979,1510.13,2.15178,7.24744
5895,16.9469,34.7491,4.07253,1508.6,2.05047,7.35828
299,18.4227,41.7332,4.83752,1511.8399999999997,2.26532,7.36494
1031,18.1446,40.3744,3.65087,1511.23,2.22514,7.42234
1418,16.7998,34.0838,3.4674,1508.27,2.02882,7.42917
4843,20.8325,54.6042,4.68066,1517.1100000000001,2.62111,7.48167
7073,20.8995,55.0635,4.47544,1517.29,2.63469,7.505
6908,17.9328,39.3526,4.23235,1510.77,2.19445,7.51476
1462,21.0256,55.9318,4.89746,1517.6100000000001,2.66017,7.55766
33,18.4303,41.7709,4.73576,1511.85,2.26642,7.59426
2457,22.1099,63.5788,5.91692,1520.3899999999999,2.87559,7.62436
292,17.3907,36.7904,3.713,1509.58,2.11552,7.66913
8000,21.4271,58.724,4.76822,1518.65,2.74064,7.70415
1163,17.1976,35.8961,4.42127,1509.15,2.08728,7.73032
3624,21.6199,60.0814,5.66562,1519.15,2.77898,7.74647
8422,20.0177,49.9161,5.16041,1515.2799999999997,2.4936,7.77229
7417,20.4538,52.2687,4.94728,1516.21,2.55546,7.82065
5146,21.927,62.2655,5.32085,1519.9299999999998,2.83967,7.88773
1277,20.5969,53.0516,6.13355,1516.5099999999998,2.57571,7.91131
7513,19.0825,45.0381,4.00253,1513.27,2.36017,8.03689
8730,17.3392,36.5511,4.15998,1509.4699999999998,2.108,8.14816
966,22.159,63.9338,5.84912,1520.52,2.88522,8.26616
8294,21.9597,62.4997,5.9765,1520.0099999999998,2.8461,8.27694
2971,16.5702,33.0562,4.28576,1507.7599999999998,1.99492,8.32585
8562,20.9043,55.0969,4.76544,1517.2999999999997,2.63567,8.35269
3705,23.2778,72.2041,6.6419,1523.31,3.10185,8.37036
4111,18.1907,40.598,4.18577,1511.33,2.2318,8.40497
4935,18.7448,43.3323,4.08782,1512.54,2.3117,8.41324
3623,21.0692,56.2329,6.48723,1517.73,2.66896,8.48305
5667,23.339,72.6675,7.32074,1523.46,3.11357,8.5623
7222,23.887,76.8691,6.52234,1524.81,3.21803,8.59479
9240,20.5712,52.9109,4.41791,1516.46,2.57208,8.66619
9806,23.3079,72.4322,5.75941,1523.38,3.10762,8.95091
7437,18.4544,41.8894,4.89604,1511.9099999999999,2.26989,8.9856
2233,20.7132,53.7896,4.72229,1516.7999999999997,2.59687,9.09619
719,22.6664,67.6373,6.89018,1521.79,2.98404,9.11529
8764,21.6938,60.6042,5.19422,1519.3399999999997,2.79362,9.18324
3505,23.2174,71.7484,6.15969,1523.1599999999999,3.09028,9.18907
7253,20.9501,55.4116,5.45607,1517.42,2.64493,9.36925
8686,21.1881,57.0565,5.7833,1518.04,2.69285,9.37425
1814,22.6923,67.8285,6.32126,1521.8600000000001,2.98906,9.40798
9239,24.3958,80.8534,6.51948,1526.0499999999997,3.31423,9.54808
9990,21.3312,58.0528,5.33629,1518.4099999999999,2.7215,9.58495
6484,21.619,60.0746,6.21036,1519.1399999999999,2.77879,9.6188
5454,22.6526,67.5357,7.01565,1521.7599999999998,2.98137,9.63029
8784,21.8328,61.5923,5.90474,1519.69,2.82109,9.64695
5388,24.6857,83.2896,5.9712,1526.79,3.374,9.66626
7309,18.4996,42.1125,5.13532,1512.0,2.2764,9.72536
8210,19.6541,47.9924,5.28916,1514.5,2.44185,9.77507
5539,24.4415,81.2155,7.1495,1526.1599999999999,3.32285,9.81588
354,19.4587,46.9729,5.30075,1514.08,2.41398,9.84166
1215,26.2394,100.577,8.19964,1531.9499999999998,3.83304,9.87806
2352,22.4728,66.2151,5.29082,1521.31,2.94646,9.87982
5014,21.4631,58.9767,5.77179,1518.7399999999998,2.74782,9.88868
1595,22.0344,63.0355,6.45226,1520.1999999999998,2.86078,9.94776
8925,21.7082,60.7066,5.6181,1519.37,2.79648,9.95906
8054,20.1077,50.3977,4.98847,1515.4699999999998,2.50638,9.98049
2606,17.903,39.2097,4.33431,1510.6999999999998,2.19012,10.0799
4837,25.3611,90.4061,7.72233,1528.9299999999998,3.56476,10.0874
752,21.6629,60.3854,5.15087,1519.2599999999998,2.7875,10.1436
8951,24.0738,78.3219,7.36143,1525.2599999999998,3.25342,10.1941
9489,20.0554,50.1172,5.45734,1515.3600000000001,2.49895,10.213
9329,26.1863,99.9315,7.96186,1531.7599999999998,3.81617,10.2391
247,26.5172,104.022,8.73337,1532.9499999999998,3.9228,10.245
9071,19.3432,46.375,5.78029,1513.83,2.39748,10.251
7873,21.5301,59.4478,6.5384,1518.92,2.76115,10.2807
6945,23.0709,70.6458,7.72352,1522.7999999999997,3.06212,10.282
1170,19.6554,47.999,5.47482,1514.5,2.44203,10.2915
7009,18.1469,40.3852,4.61027,1511.2399999999998,2.22547,10.3516
4972,22.6618,67.6035,7.12937,1521.7799999999997,2.98315,10.3707
811,21.9215,62.2262,6.34483,1519.92,2.83859,10.3787
2648,19.8185,48.858,5.76585,1514.85,2.46527,10.3872
2552,20.8466,54.7007,6.56741,1517.15,2.62397,10.4315
5193,24.0646,78.2508,6.98945,1525.2399999999998,3.25169,10.4848
5313,16.6303,33.3237,4.57404,1507.9,2.0038,10.5621
4571,23.6772,75.2492,6.35989,1524.29,3.17813,10.5642
4822,22.3934,65.6352,6.20119,1521.1100000000001,2.93101,10.6624
9933,20.12,50.4638,5.59873,1515.4899999999998,2.50813,10.7446
9951,23.3811,72.9873,8.01533,1523.56,3.12163,10.8783
9672,20.5571,52.8337,5.64331,1516.4299999999998,2.57009,10.9421
807,24.6459,82.8886,7.87388,1526.67,3.36317,10.9836
9930,23.8934,76.9186,7.44172,1524.8199999999997,3.21924,11.0268
9520,24.0827,78.3915,6.34842,1525.29,3.2551,11.0934
4525,23.6168,74.786,7.57211,1524.15,3.16664,11.2805
8835,24.4164,81.0164,8.45478,1526.1,3.31811,11.3512
1559,24.308,80.1602,7.4918,1525.83,3.29768,11.3828
5600,19.4645,47.003,4.77952,1514.0899999999997,2.4148,11.413
412,24.9257,85.7515,7.94097,1527.5299999999997,3.44028,11.4932
4246,20.4575,52.2893,5.60824,1516.2199999999998,2.55599,11.5149
3404,22.043,63.0972,7.2719,1520.2199999999998,2.86246,11.545
1516,24.1819,79.1682,8.60202,1525.5299999999997,3.27386,11.5556
2053,25.3037,89.7786,8.47217,1528.75,3.54804,11.6064
2759,24.0074,77.8041,7.79423,1525.1,3.24084,11.621
8359,24.5153,81.8008,6.14224,1526.3399999999997,3.33673,11.6325
1299,22.5864,67.0485,5.67893,1521.5899999999997,2.96853,11.7052
753,24.2429,79.6476,9.59486,1525.6799999999998,3.2854,11.7085
7408,21.3278,58.029,5.53173,1518.4,2.72082,11.7689
2439,19.3988,46.6623,5.78547,1513.9499999999998,2.40542,11.9094
9732,24.4838,81.5506,8.88984,1526.2599999999998,3.3308,11.9779
7841,23.7864,76.091,6.17182,1524.56,3.19892,12.0388
7511,22.3359,65.2164,7.90222,1520.96,2.9198,12.0471
730,26.2351,100.524,10.1013,1531.9299999999998,3.83167,12.3285
8840,22.5804,67.004,7.35532,1521.58,2.96736,12.3755
8163,22.3367,65.222,8.72996,1520.96,2.91995,12.5181
6777,24.8237,84.6963,8.33085,1527.2199999999998,3.41191,12.5428
3806,20.1569,50.6618,5.02537,1515.5699999999997,2.51337,12.5563
8216,23.8647,76.696,7.74702,1524.75,3.21379,12.5645
5815,26.3057,101.389,9.11137,1532.1799999999998,3.85426,12.5853
1088,23.7201,75.5798,7.51808,1524.4,3.18631,12.6331
3320,26.9399,109.484,7.07119,1534.54,4.06402,12.6644
4072,25.2719,89.433,8.21697,1528.6399999999999,3.53883,12.7047
2639,23.6859,75.3165,8.41863,1524.31,3.1798,12.7262
862,22.8439,68.9517,7.24911,1522.23,3.01839,12.7386
8116,18.9791,44.5125,5.34545,1513.04,2.34534,12.8297
7099,26.1511,99.5063,10.5912,1531.63,3.80504,12.8805
7231,23.1589,71.3075,7.30647,1523.02,3.07905,12.9024
39,23.8611,76.6682,8.50721,1524.7399999999998,3.2131,12.9342
5123,22.1205,63.6554,6.99165,1520.42,2.87767,12.9469
7356,22.5947,67.1095,5.77613,1521.6100000000001,2.97014,13.0233
7548,21.7701,61.1458,7.15519,1519.5299999999997,2.80871,13.0276
2049,25.7292,94.5384,7.05408,1530.1599999999999,3.67437,13.0628
9843,22.1162,63.6248,5.97169,1520.4099999999999,2.87683,13.0697
1059,25.8962,96.4744,10.0595,1530.7399999999998,3.72543,13.0726
8223,25.029,86.833,8.29583,1527.8600000000001,3.4693,13.0764
3722,17.8943,39.168,4.86871,1510.69,2.18886,13.1504
2176,26.0237,97.9792,7.88273,1531.1799999999998,3.765,13.1578
546,23.0284,70.328,7.55052,1522.69,3.05396,13.177
3654,25.9788,97.4471,9.52243,1531.02,3.75102,13.2242
7287,25.9181,96.7321,11.7314,1530.81,3.73222,13.2668
5524,23.1933,71.5661,8.63462,1523.1,3.08564,13.3144
6845,25.5546,92.556,9.65582,1529.5699999999997,3.62189,13.3394
1209,20.6752,53.5307,7.38623,1516.6999999999998,2.58913,13.3751
183,25.7345,94.6001,9.75028,1530.1799999999998,3.676,13.3778
6764,24.5037,81.7088,8.94902,1526.31,3.33455,13.4055
1584,22.6675,67.646,7.21234,1521.79,2.98427,13.416
2170,20.5355,52.7152,5.74681,1516.38,2.56703,13.4539
1787,23.0422,70.4312,8.52203,1522.73,3.05661,13.5482
7217,24.1442,78.873,8.84463,1525.44,3.26675,13.6726
3484,26.119,99.1195,7.38561,1531.52,3.79491,13.7067
2445,21.669,60.4287,7.72002,1519.27,2.78872,13.8533
9947,24.4747,81.4787,8.19473,1526.2399999999998,3.3291,13.9273
2432,23.2035,71.6434,8.51877,1523.13,3.08761,13.9373
6403,21.5817,59.8119,8.03536,1519.0499999999997,2.77141,14.0467
8995,22.3269,65.1507,7.44253,1520.94,2.91804,14.0937
6838,24.1707,79.0802,8.68257,1525.5,3.27174,14.1642
4004,26.3118,101.464,10.3367,1532.21,3.85622,14.2506
3617,24.414,80.9973,10.3595,1526.0899999999997,3.31766,14.2939
2328,25.2847,89.5715,8.41878,1528.6799999999998,3.54252,14.2967
7900,26.0541,98.3419,10.5228,1531.29,3.77452,14.3654
2831,23.8635,76.6867,8.57724,1524.75,3.21356,14.3943
6124,26.7552,107.064,8.67605,1533.8399999999997,4.00163,14.5547
7168,22.4554,66.0876,6.94469,1521.2599999999998,2.94307,14.6033
5051,25.7101,94.3196,10.1531,1530.1,3.66859,14.7137
7981,26.4556,103.249,13.0167,1532.73,3.90272,14.7184
580,23.3956,73.0971,7.03915,1523.6,3.1244,14.8174
9419,29.0164,142.385,11.4652,1543.6799999999998,4.90707,14.86
9050,23.6719,75.2087,7.93533,1524.2799999999997,3.17713,14.8764
3682,23.5974,74.6368,7.44605,1524.1,3.16293,14.8861
6650,24.9202,85.694,9.58696,1527.52,3.43874,15.0216
5970,25.9759,97.4132,9.22485,1531.0099999999998,3.75013,15.0437
5018,24.3589,80.5619,10.8095,1525.96,3.30728,15.0481
4508,25.2047,88.7057,8.98577,1528.42,3.51941,15.0772
4929,26.4928,103.715,8.40806,1532.8600000000001,3.91483,15.3315
650,24.0992,78.5205,6.50314,1525.33,3.25823,15.3396
7544,25.62,93.2943,8.6607,1529.79,3.64146,15.347
7596,22.7755,68.4443,7.17056,1522.06,3.00517,15.4246
2689,30.0083,160.471,12.1734,1548.3899999999999,5.34754,15.5583
9912,22.4497,66.0464,8.49194,1521.25,2.94197,15.5693
6445,23.0463,70.4614,7.96009,1522.7399999999998,3.05739,15.6081
7342,25.7099,94.318,11.8963,1530.1,3.66854,15.6158
2314,26.4203,102.808,10.8089,1532.6,3.89124,15.7343
1479,25.5133,92.0931,8.30315,1529.44,3.60961,15.7455
6261,25.9707,97.3511,8.70225,1531.0,3.7485,15.789
4946,19.3782,46.5554,6.55384,1513.9,2.40247,15.8089
3232,25.5451,92.4486,10.8437,1529.54,3.61904,15.836
664,25.2483,89.1763,10.8155,1528.56,3.53198,15.9772
3886,27.312,114.518,9.48217,1535.9899999999998,4.19296,16.0051
1754,23.2994,72.3678,8.88566,1523.3600000000001,3.10599,16.0756
6438,20.9428,55.3614,7.66845,1517.4,2.64345,16.1608
6020,25.486,91.7885,9.91285,1529.35,3.60152,16.2325
6056,26.6261,105.404,10.7885,1533.3600000000001,3.95867,16.2358
416,27.4412,116.317,10.9088,1536.5,4.23876,16.3716
3227,27.3795,115.455,11.4832,1536.2599999999998,4.21683,16.4224
8071,27.1286,112.011,12.9219,1535.27,4.12887,16.4382
7875,25.0758,87.328,8.53515,1528.0099999999998,3.48256,16.4552
311,28.2476,129.299,12.9506,1540.1399999999999,4.57733,16.4828
5402,23.9843,77.6244,7.25465,1525.0499999999997,3.23647,16.5776
1435,25.402,90.857,8.63717,1529.0699999999997,3.57676,16.6049
7090,25.2737,89.4525,9.02644,1528.65,3.53935,16.7518
8917,22.5651,66.8922,8.5637,1521.54,2.96441,16.7849
8110,24.7188,83.6248,9.53989,1526.8899999999999,3.38304,16.8302
4727,26.5442,104.363,10.8967,1533.0499999999997,3.93167,16.8372
1094,26.8723,108.592,11.4803,1534.2799999999997,4.04104,16.8409
3175,22.0857,63.4048,7.89561,1520.33,2.87085,16.8957
98,27.3349,114.835,12.0404,1536.08,4.20105,16.9412
2748,27.1848,112.773,10.7545,1535.4899999999998,4.14839,17.086
559,25.2505,89.2007,9.43228,1528.5699999999997,3.53263,17.1219
7717,23.8644,76.6937,7.54807,1524.75,3.21373,17.1472
8540,24.9154,85.6446,9.48603,1527.5,3.43741,17.1493
1477,26.1725,99.7645,11.0524,1531.71,3.8118,17.2076
8363,28.7133,137.149,10.3242,1542.2799999999997,4.77649,17.2384
9991,26.609,105.185,12.3676,1533.29,3.953,17.2832
6976,24.5642,82.1901,10.7993,1526.46,3.34593,17.2861
3769,28.9694,141.567,10.5726,1543.4699999999998,4.88677,17.3313
604,25.0754,87.3239,9.02465,1528.0099999999998,3.48246,17.3319
9913,25.942,97.013,9.74421,1530.9,3.73961,17.3457
7569,26.1944,100.03,9.8576,1531.79,3.81874,17.4003
8109,25.6143,93.2294,9.87661,1529.77,3.63974,17.4027
1747,27.2513,113.682,9.39546,1535.75,4.17163,17.4195
5889,23.575,74.4657,9.19218,1524.04,3.15867,17.4235
5078,29.0233,142.506,11.9803,1543.7199999999998,4.91005,17.4301
2485,28.2228,128.887,10.4893,1540.0299999999997,4.56676,17.4428
5652,24.8527,84.9945,8.70025,1527.31,3.41993,17.5199
1171,27.2249,113.32,9.06198,1535.6399999999999,4.16237,17.5242
8648,24.4323,81.1422,9.67473,1526.1399999999999,3.32111,17.6193
8337,23.3355,72.6412,9.73722,1523.4499999999998,3.11291,17.6573
1945,25.2894,89.6229,10.9155,1528.6999999999998,3.54389,17.6888
1627,27.9319,124.113,14.9481,1538.6999999999998,4.44341,17.7915
2547,26.0217,97.956,8.65676,1531.17,3.76439,17.8363
9426,26.0703,98.535,9.64381,1531.35,3.77959,17.8438
6594,24.7552,83.9949,10.3319,1527.0,3.39302,17.8448
9695,28.7131,137.145,12.026,1542.2799999999997,4.77638,17.9445
124,27.1644,112.496,12.1833,1535.4099999999999,4.14131,17.9544
850,25.4031,90.8692,9.77789,1529.0699999999997,3.57709,17.9676
2180,26.9912,110.166,12.7225,1534.7399999999998,4.08154,17.9706
3606,26.7397,106.864,11.1861,1533.7799999999997,3.99646,17.9754
6913,27.829,122.447,11.5483,1538.2399999999998,4.39999,18.0768
9522,27.6153,119.025,8.72206,1537.27,4.31013,18.0942
9188,24.3994,80.882,11.4316,1526.06,3.31491,18.1576
3116,26.9066,109.044,11.2355,1534.4099999999999,4.05267,18.1618
9453,25.8398,95.8168,10.7251,1530.54,3.70811,18.2134
4888,27.8677,123.073,13.0244,1538.4099999999999,4.41632,18.2253
5567,30.1333,162.882,14.0409,1549.0,5.4054,18.2576
7678,25.2227,88.8994,9.97194,1528.48,3.52459,18.3999
4166,26.7463,106.949,10.995,1533.81,3.99865,18.4265
2130,26.6405,105.587,11.4867,1533.4099999999999,3.96341,18.4659
4224,25.5586,92.6011,7.72362,1529.5899999999997,3.62309,18.4883
9768,27.7344,120.927,13.5284,1537.81,4.36017,18.5482
3033,28.0579,126.169,13.8727,1539.2799999999997,4.49675,18.5489
8121,26.0139,97.8624,10.461,1531.15,3.76193,18.5512
6789,26.9436,109.533,10.6984,1534.5499999999997,4.06526,18.5683
8324,25.3287,90.0511,10.8954,1528.83,3.5553,18.6579
3808,26.5752,104.756,9.65548,1533.17,3.94187,18.689
4431,26.767,107.218,12.5699,1533.88,4.00559,18.7041
8720,29.7349,155.262,14.296,1547.0499999999997,5.22153,18.7525
9,26.7145,106.538,11.3491,1533.69,3.98802,18.8001
6292,26.487,103.643,10.7845,1532.8399999999997,3.91296,18.8208
492,28.77,138.12,11.7166,1542.54,4.80084,18.8479
3398,23.5265,74.0945,8.60864,1523.92,3.14941,18.8798
4167,27.3919,115.627,11.1244,1536.31,4.22122,18.9546
4155,24.3958,80.8534,9.74391,1526.0499999999997,3.31423,19.1261
4380,27.9283,124.054,10.5053,1538.69,4.44189,19.1885
8456,25.4309,91.1757,8.61936,1529.1599999999999,3.58524,19.2599
1039,27.5605,118.157,11.945,1537.0299999999997,4.28717,19.3493
3750,24.2904,80.021,10.2281,1525.79,3.29435,19.4296
6259,27.2733,113.985,10.3236,1535.83,4.17935,19.4769
6089,26.2365,100.542,8.41861,1531.94,3.83213,19.532
2467,31.1501,183.194,15.7123,1554.04,5.88101,19.54
1598,29.7963,156.423,12.711,1547.35,5.24975,19.55
6344,26.2961,101.271,10.342,1532.15,3.85117,19.5608
9014,28.8292,139.139,13.5707,1542.8199999999997,4.82632,19.5678
6501,26.8952,108.894,12.6641,1534.37,4.04883,19.6501
2921,25.9138,96.6809,11.4032,1530.7999999999997,3.73087,19.6614
8252,27.3748,115.39,11.3524,1536.2399999999998,4.21518,19.7824
4125,31.668,194.014,13.6793,1556.6399999999999,6.12649,19.8198
7817,28.952,141.265,14.2284,1543.3899999999999,4.87927,19.8428
5971,27.8792,123.258,14.8541,1538.4699999999998,4.42116,19.888
8220,27.2117,113.14,11.7434,1535.5899999999997,4.15778,19.9372
5436,25.6198,93.2918,11.1248,1529.79,3.64139,19.9464
8921,27.5774,118.425,12.1865,1537.1,4.29426,19.9709
2329,27.1513,112.318,15.1876,1535.3600000000001,4.13674,20.0066
2272,25.9498,97.1048,10.1615,1530.92,3.74202,20.1429
8099,25.3655,90.4551,10.9619,1528.9499999999998,3.56606,20.2178
2047,29.0242,142.522,14.224,1543.7199999999998,4.91046,20.2243
5351,25.5271,92.2471,10.8912,1529.48,3.6137,20.245
9090,26.0743,98.583,11.0571,1531.3600000000001,3.78085,20.3664
2428,26.0226,97.9659,12.3247,1531.1799999999998,3.76465,20.3926
6200,26.0641,98.4612,11.9485,1531.3199999999997,3.77765,20.4679
4319,29.4616,150.26,12.6877,1545.7599999999998,5.10021,20.527
3776,26.2356,100.531,11.8763,1531.9299999999998,3.83185,20.5281
6504,28.6181,135.524,16.5708,1541.8399999999997,4.7356,20.5544
934,26.2515,100.725,11.7081,1531.9899999999998,3.83691,20.6016
9283,29.1415,144.578,13.8792,1544.27,4.96122,20.6087
4316,27.6423,119.455,10.7163,1537.3899999999999,4.32145,20.6647
6531,24.7909,84.3596,9.71167,1527.1100000000001,3.40285,20.678
480,26.0518,98.3137,10.793,1531.2799999999997,3.77378,20.732
2725,28.1722,128.051,12.1863,1539.7999999999997,4.54528,20.7489
9143,25.4492,91.3794,10.6549,1529.2199999999998,3.59065,20.8013
1645,31.1824,183.86,15.5315,1554.1999999999998,5.89626,20.8242
5719,27.0712,111.236,12.2442,1535.0499999999997,4.10902,20.8509
911,28.7789,138.274,12.2872,1542.58,4.80471,20.8571
1290,28.4192,132.164,12.518,1540.9299999999998,4.65051,20.9162
9570,26.6317,105.475,11.8801,1533.38,3.9605,20.9524
8661,28.0213,125.571,10.8509,1539.1100000000001,4.48126,21.0513
9985,28.828,139.119,11.67,1542.81,4.82582,21.0655
4949,28.4762,133.122,14.9495,1541.19,4.67486,21.0831
2394,27.2047,113.044,11.1198,1535.5699999999997,4.15533,21.1074
2954,26.3817,102.328,12.7406,1532.46,3.87874,21.1989
2312,28.2265,128.949,10.8822,1540.0499999999997,4.56835,21.208
2452,27.3174,114.593,10.2059,1536.0099999999998,4.19487,21.2494
8959,28.3211,130.521,14.9333,1540.48,4.60861,21.3004
134,29.3992,149.142,14.8413,1545.4699999999998,5.07302,21.3434
5535,27.5282,117.646,13.6923,1536.88,4.27365,21.3935
1689,28.5023,133.561,10.4802,1541.31,4.686,21.438
4689,28.6483,136.039,16.1155,1541.98,4.74858,21.5242
5558,28.8676,139.803,15.4075,1542.9899999999998,4.8429,21.5712
6714,24.2618,79.7959,9.1879,1525.7199999999998,3.28896,21.6001
6408,28.709,137.076,13.9045,1542.2599999999998,4.77465,21.6166
4574,27.3712,115.339,12.7453,1536.2199999999998,4.21387,21.6822
5665,30.8117,176.299,12.4184,1552.35,5.7218,21.689
4621,28.5676,134.666,13.4304,1541.6100000000001,4.71396,21.6918
1412,31.8328,197.647,13.8097,1557.5,6.2089,21.6987
6849,27.2163,113.203,13.91,1535.6100000000001,4.15937,21.705
7483,30.4011,168.113,15.8875,1550.3199999999997,5.52982,21.7073
1605,30.0091,160.486,17.6352,1548.3899999999999,5.34791,21.8534
7174,28.0602,126.208,12.7547,1539.29,4.49775,21.9677
5364,27.4369,116.256,12.4493,1536.48,4.23722,21.9704
9950,27.5945,118.695,12.1035,1537.1799999999998,4.3014,22.0822
7624,28.758,137.914,12.7105,1542.4899999999998,4.79568,22.127
2908,27.3087,114.472,14.6059,1535.9699999999998,4.19178,22.2157
5349,26.5087,103.915,11.8583,1532.92,3.92002,22.2391
3129,30.2803,165.743,14.3251,1549.7199999999998,5.47363,22.2508
9521,27.089,111.475,15.1078,1535.1100000000001,4.11515,22.2599
7091,28.8199,138.979,13.1844,1542.77,4.82232,22.2768
7683,27.0411,110.832,12.0634,1534.9299999999998,4.09865,22.3043
5835,26.0606,98.4189,13.1368,1531.31,3.77654,22.3201
2513,27.763,121.385,11.0218,1537.94,4.37219,22.432
9469,26.4922,103.707,11.0744,1532.8600000000001,3.91463,22.4463
5250,28.0474,125.997,14.7548,1539.23,4.49229,22.4583
5403,25.41,90.9452,11.4804,1529.0899999999997,3.57911,22.4601
8795,28.8156,138.904,13.5432,1542.75,4.82046,22.7473
6924,28.8157,138.907,15.6095,1542.75,4.82053,22.8124
3781,30.7222,174.497,15.4125,1551.9099999999999,5.67983,22.8405
5643,30.2855,165.845,16.8842,1549.75,5.47605,22.866
2809,29.7566,155.672,14.9439,1547.1599999999999,5.23151,22.934
2752,31.4758,189.959,18.4048,1555.67,6.03507,22.9947
1172,24.9536,86.0421,10.8383,1527.62,3.44809,23.0039
9038,31.7203,195.162,17.9827,1556.9099999999999,6.15259,23.0149
6112,28.8291,139.137,11.2048,1542.8199999999997,4.82628,23.0256
2135,24.9751,86.2673,9.41989,1527.69,3.45413,23.0342
9932,29.8937,158.276,10.7317,1547.83,5.29462,23.0361
788,28.5105,133.7,14.2185,1541.35,4.68952,23.0836
7571,28.5201,133.863,11.8952,1541.3899999999999,4.69363,23.1271
9756,29.0161,142.38,13.7271,1543.6799999999998,4.90693,23.2193
9826,31.4068,188.515,13.0788,1555.33,6.00236,23.2347
8880,27.13,112.029,12.6688,1535.27,4.12935,23.2458
8474,24.0605,78.2188,9.50968,1525.23,3.25092,23.324
4120,30.3752,167.602,17.7608,1550.19,5.51774,23.424
5373,25.6891,94.0796,11.9664,1530.0299999999997,3.66224,23.4868
7007,29.8911,158.227,14.468,1547.8199999999997,5.29345,23.5074
